Month Mean44-59(mm) std44-59(mm) Mean95-03(mm) std95-03(mm)
1 114.8 83.6 128.7 73.6
2 100.6 83.1 96.2 64.5
3 111.1 62.5 104.6 70.7
4 86.9 35.9 105.8 61.1
5 98 33.1 91 36.2
6 62.7 26.9 65.5 33
7 28.1 15.7 36.8 20.1
8 41.5 21.3 39.3 24.1
9 49.8 22.2 66 37.3
10 72 30.2 130.1 59.2
11 108.7 53 137.5 77.6
12 149.2 89.9 136.1 69.7

