Month Mean44-59(m3s-1) std44-59(m3s-1) Mean95-03(m3s-1) std95-03(m3s-1)
1 273.4 140.3 297.5 233.4
2 297.9 172.1 259.8 188.6
3 268.8 155.5 225.1 195.3
4 221.4 114.4 189.6 124.0
5 152.9 77.8 125.6 66.8
6 89.5 55.0 89.3 34.4
7 33.7 19.0 66.1 28.7
8 18.5 8.4 49.5 21.8
9 22.9 12.1 51.1 27.4
10 39.2 23.6 80.5 36.7
11 117.0 74.9 163.6 111.2
12 287.8 267.5 251.0 201.4
