Day	Month	Year	Volume(hm3)
4	10	1978	151.90
5	10	1978	148.70
6	10	1978	144.80
7	10	1978	141.60
8	10	1978	141.20
9	10	1978	137.90
10	10	1978	134.90
11	10	1978	132.00
12	10	1978	131.20
13	10	1978	129.40
14	10	1978	126.30
15	10	1978	126.30
16	10	1978	123.60
17	10	1978	120.40
18	10	1978	117.30
19	10	1978	114.10
20	10	1978	110.90
21	10	1978	108.10
22	10	1978	108.10
23	10	1978	105.30
24	10	1978	102.10
25	10	1978	99.00
26	10	1978	96.40
27	10	1978	93.30
28	10	1978	90.20
29	10	1978	90.20
30	10	1978	86.80
31	10	1978	84.10
1	11	1978	84.20
2	11	1978	82.10
3	11	1978	80.40
4	11	1978	79.30
5	11	1978	79.50
6	11	1978	80.40
7	11	1978	80.10
8	11	1978	81.80
9	11	1978	81.60
10	11	1978	79.80
11	11	1978	78.70
12	11	1978	78.80
13	11	1978	79.50
14	11	1978	80.00
15	11	1978	79.00
16	11	1978	77.70
17	11	1978	76.20
18	11	1978	74.80
19	11	1978	74.90
20	11	1978	73.20
21	11	1978	71.30
22	11	1978	69.50
23	11	1978	67.20
24	11	1978	65.20
25	11	1978	62.80
26	11	1978	63.00
27	11	1978	61.60
28	11	1978	60.40
29	11	1978	60.70
30	11	1978	60.90
1	12	1978	61.30
2	12	1978	61.60
3	12	1978	61.80
4	12	1978	62.70
5	12	1978	63.20
6	12	1978	63.50
7	12	1978	64.50
8	12	1978	69.80
9	12	1978	72.40
10	12	1978	77.10
11	12	1978	84.60
12	12	1978	94.70
13	12	1978	103.10
14	12	1978	110.70
15	12	1978	117.30
16	12	1978	119.30
17	12	1978	119.40
18	12	1978	118.10
19	12	1978	117.30
20	12	1978	117.60
21	12	1978	116.50
22	12	1978	115.00
23	12	1978	114.70
24	12	1978	120.30
25	12	1978	124.50
26	12	1978	127.90
27	12	1978	138.30
28	12	1978	148.10
29	12	1978	169.70
30	12	1978	180.30
31	12	1978	195.30
1	1	1979	204.30
2	1	1979	213.40
3	1	1979	223.90
4	1	1979	232.60
5	1	1979	240.20
6	1	1979	244.90
7	1	1979	248.70
8	1	1979	254.50
9	1	1979	257.10
10	1	1979	258.40
11	1	1979	266.30
12	1	1979	282.90
13	1	1979	290.10
14	1	1979	292.60
15	1	1979	291.70
16	1	1979	289.90
17	1	1979	285.90
18	1	1979	281.60
19	1	1979	278.50
20	1	1979	274.10
21	1	1979	273.70
22	1	1979	271.20
23	1	1979	269.20
24	1	1979	268.30
25	1	1979	265.90
26	1	1979	264.90
27	1	1979	264.80
28	1	1979	267.30
29	1	1979	270.30
30	1	1979	272.50
31	1	1979	274.70
1	2	1979	277.30
2	2	1979	281.10
3	2	1979	290.00
4	2	1979	307.70
5	2	1979	327.20
6	2	1979	336.10
7	2	1979	336.50
8	2	1979	332.90
9	2	1979	333.70
10	2	1979	332.00
11	2	1979	325.30
12	2	1979	322.70
13	2	1979	319.90
14	2	1979	315.70
15	2	1979	314.40
16	2	1979	314.90
17	2	1979	314.30
18	2	1979	314.00
19	2	1979	310.90
20	2	1979	307.80
21	2	1979	304.50
22	2	1979	300.70
23	2	1979	296.90
24	2	1979	295.80
25	2	1979	288.40
26	2	1979	283.80
27	2	1979	281.90
28	2	1979	280.00
1	3	1979	280.60
2	3	1979	280.70
3	3	1979	280.80
