Day	Month	Year	Volume(hm3)
1	11	2000	87.62
2	11	2000	89.50
3	11	2000	91.01
4	11	2000	98.78
5	11	2000	112.62
6	11	2000	144.96
7	11	2000	187.59
8	11	2000	230.02
9	11	2000	267.55
10	11	2000	295.55
11	11	2000	313.79
12	11	2000	331.52
13	11	2000	351.94
14	11	2000	367.08
15	11	2000	375.09
16	11	2000	378.13
17	11	2000	382.98
18	11	2000	388.39
19	11	2000	397.02
20	11	2000	396.75
21	11	2000	400.72
22	11	2000	426.55
23	11	2000	452.46
24	11	2000	472.58
25	11	2000	488.11
26	11	2000	502.12
27	11	2000	514.19
28	11	2000	520.94
29	11	2000	524.84
30	11	2000	532.02
1	12	2000	549.31
2	12	2000	557.76
3	12	2000	585.11
4	12	2000	601.12
5	12	2000	610.51
6	12	2000	609.06
7	12	2000	618.91
8	12	2000	603.99
9	12	2000	586.87
10	12	2000	585.81
11	12	2000	591.83
12	12	2000	599.32
13	12	2000	605.80
14	12	2000	610.87
15	12	2000	609.06
16	12	2000	606.52
17	12	2000	606.16
18	12	2000	610.87
19	12	2000	601.83
20	12	2000	600.40
21	12	2000	603.99
22	12	2000	603.99
23	12	2000	601.83
24	12	2000	598.60
25	12	2000	597.17
26	12	2000	608.69
27	12	2000	611.60
28	12	2000	607.97
29	12	2000	603.99
30	12	2000	604.72
31	12	2000	598.96
1	1	2001	602.19
2	1	2001	603.99
3	1	2001	599.32
4	1	2001	604.35
5	1	2001	603.63
6	1	2001	596.46
7	1	2001	595.39
8	1	2001	598.60
9	1	2001	604.35
10	1	2001	605.80
11	1	2001	604.72
12	1	2001	602.55
13	1	2001	605.80
14	1	2001	607.24
15	1	2001	606.52
16	1	2001	609.42
17	1	2001	607.97
18	1	2001	607.97
19	1	2001	606.88
20	1	2001	603.63
21	1	2001	600.04
22	1	2001	599.32
23	1	2001	601.12
24	1	2001	609.78
25	1	2001	609.42
26	1	2001	612.69
27	1	2001	606.52
28	1	2001	603.99
29	1	2001	605.44
30	1	2001	601.47
31	1	2001	606.52
1	2	2001	610.51
2	2	2001	607.61
3	2	2001	606.16
4	2	2001	606.16
5	2	2001	602.91
6	2	2001	609.78
7	2	2001	607.24
8	2	2001	607.61
9	2	2001	605.80
10	2	2001	610.51
11	2	2001	607.97
12	2	2001	610.14
13	2	2001	613.42
14	2	2001	612.69
15	2	2001	610.87
16	2	2001	607.61
17	2	2001	604.35
18	2	2001	600.76
19	2	2001	596.82
20	2	2001	592.89
21	2	2001	586.16
22	2	2001	579.49
23	2	2001	571.14
24	2	2001	562.88
25	2	2001	554.37
26	2	2001	545.95
27	2	2001	539.62
28	2	2001	538.29
1	3	2001	535.98
2	3	2001	555.72
3	3	2001	592.54
4	3	2001	615.24
5	3	2001	604.72
6	3	2001	606.16
7	3	2001	608.69
8	3	2001	612.33
9	3	2001	611.96
10	3	2001	608.69
11	3	2001	610.51
12	3	2001	618.91
13	3	2001	619.64
14	3	2001	620.74
15	3	2001	623.32
16	3	2001	623.69
17	3	2001	625.17
18	3	2001	625.17
19	3	2001	624.80
20	3	2001	627.76
21	3	2001	631.85
22	3	2001	624.80
23	3	2001	618.91
24	3	2001	616.34
25	3	2001	614.15
26	3	2001	612.33
27	3	2001	612.69
28	3	2001	614.88
29	3	2001	617.44
30	3	2001	621.85
31	3	2001	621.85
