Month Mean44-59(mm) std44-59(mm) Mean95-03(mm) std95-03(mm)
1 124.7 90.6 143.4 77.6
2 112 89.5 107.5 69.9
3 126.1 70.4 116.6 72.7
4 94.3 46.2 121.4 74.6
5 100.8 38 100.5 44.6
6 67.1 31.4 73.6 41.5
7 33.4 17.6 42 24.6
8 56.2 27.9 50.6 30.9
9 64.7 29.5 75.7 44.8
10 86.3 41.1 147 66.6
11 118.2 60.1 155.5 86.2
12 161.7 99 149.1 72.8

