Month Mean44-59(m3s-1) std44-59(m3s-1) Mean95-03(m3s-1) std95-03(m3s-1)
1 410.0 217.9 452.3 325.3
2 454.0 278.3 417.4 269.9
3 404.3 261.0 371.6 273.9
4 323.3 181.6 288.6 172.1
5 215.9 104.7 204.2 93.0
6 129.6 68.0 146.1 46.7
7 56.4 29.8 119.7 47.3
8 30.2 11.1 93.4 37.3
9 37.9 16.1 98.5 44.1
10 57.8 27.7 129.0 50.0
11 174.1 116.3 237.9 143.9
12 423.4 400.3 380.3 300.8
